Time_minutes,Channel,Residual_amplitude,Threshold,Significance
3296,XRSA,-0.09852141214116435,0.08808330575440725,1.1185026640105957
3297,XRSA,-0.09395401864004382,0.08808330575440725,1.0666495522091919
3299,XRSA,-0.1079606675203213,0.08808330575440725,1.2256654833247955
3301,XRSA,0.2940981160935495,0.08808330575440725,3.3388632905484967
3301,XRSB,0.14989570488310944,0.09123333611550327,1.6429926961493373
3302,XRSA,0.2962612793444628,0.08808330575440725,3.3634214429973226
3302,XRSB,0.23185436834859796,0.09123333611550327,2.5413338832098127
3303,XRSA,0.13342188529047172,0.08808330575440725,1.5147238645025076
3303,XRSB,0.1272389641441145,0.09123333611550327,1.3946542959146795
3348,XRSA,0.13279128639051513,0.08808330575440725,1.5075647451375418
3348,XRSB,0.11315416030820896,0.09123333611550327,1.2402720883181722
3453,XRSB,-0.09873183059448154,0.09123333611550327,1.0821902913808283
3454,XRSA,-0.08949547167940297,0.08808330575440725,1.016032163108559
3454,XRSB,-0.1516787987781621,0.09123333611550327,1.662537020307288
3456,XRSA,0.227184599816186,0.08808330575440725,2.5792015623212325
3456,XRSB,0.287569369250103,0.09123333611550327,3.1520207579171973
3457,XRSA,0.11967412030354163,0.08808330575440725,1.3586470135125888
3457,XRSB,0.24426485134526715,0.09123333611550327,2.677364017863195
3515,XRSB,0.17437490066531067,0.09123333611550327,1.9113068543777514
